-,-,-
15, 0, 998
33, -14, 991
36, -13, 990
36, -13, 990
33, -14, 1001
29, -11, 1011
23, -14, 1014
22, -8, 1020
22, -8, 1020
51, -6, 1007
66, -1, 1009
90, 20, 1015
90, 20, 1015
70, 9, 1024
98, 0, 1002
63, -4, 1000
63, -4, 1000
63, -7, 1029
54, -8, 1006
21, 0, 998
21, 0, 998
65, 13, 1024
25, -6, 1034
100, -2, 1027
100, -2, 1027
20, -37, 995
69, 11, 1016
56, 6, 1008
56, 6, 1008
23, 14, 1022
-13, 2, 996
7, 24, 1010
7, 24, 1010
-17, 24, 1045
23, 37, 1008
8, 21, 1010
8, 21, 1010
-38, -5, 1004
-18, -11, 1003
-32, -11, 1025
-21, -14, 1009
-40, 0, 1014
-40, 0, 1014
-35, -5, 1015
-61, 11, 1015
-67, 5, 995
-67, 5, 995
-39, 16, 1001
-89, 11, 992
-,-,-
12, 13, 985
13, 9, 1005
13, 9, 1005
13, 6, 1015
27, 5, 1028
27, 5, 1028
33, 0, 1026
34, 15, 1000
73, 10, 997
73, 10, 997
80, -9, 1001
121, -6, 1011
142, 3, 1017
142, 3, 1017
133, -3, 1005
113, 4, 999
132, -3, 1008
82, -15, 1026
82, -15, 1026
100, 14, 979
55, 25, 1036
24, 10, 1010
24, 10, 1010
13, 22, 1014
12, 54, 1028
7, 0, 989
7, 0, 989
-3, -12, 1018
0, -23, 1001
-31, -15, 1025
-31, -15, 1025
-31, 21, 1018
-54, 17, 1007
-74, 14, 993
-57, 25, 1019
-72, 9, 1015
-,-,-
47, -10, 974
47, -10, 974
35, -3, 1010
23, -2, 1011
70, 2, 1015
70, 2, 1015
8, 0, 1010
40, 8, 1012
92, 9, 1005
92, 9, 1005
107, -13, 1018
92, -12, 993
136, -18, 1039
176, 19, 995
176, 19, 995
122, -8, 1005
117, -9, 1012
100, -21, 1022
105, 36, 998
105, 36, 998
62, 43, 1027
49, 53, 1019
24, 37, 1010
24, 37, 1010
7, 3, 1026
-25, -22, 1000
-22, -18, 992
-14, 17, 1019
-14, 17, 1019
-30, -5, 1028
-37, -6, 1014
-62, -4, 1017
-88, -12, 1000
-100, -5, 1020
-100, -5, 1020
-117, 12, 999
-133, 24, 1004
-,-,-
